abbreviation,encounters
религ.,92
древн.,91
конф.,90
евр.,89
наст.,88
хут.,88
искусств.,87
церк.,84
соц.,84
первонач.,83
б-ца,83
сотр-во,82
рис.,82
персон.,80
анс.,78
пер.,78
внутр.,78
млрд,74
февр.,74
колл.,73
австр.,72
опред.,72
одноим.,71
фин.,71
верх.,70
район.,70
арх-ра,70
традиц.,69
гал.,68
соч.,67
всерос.,67
информ.,66
самостоят.,66
чл.-корр.,65
сокр.,64
исслед.,64
архитект.,64
докл.,63
прилож.,63
букв.,63
петерб.,63
рец.,62
уник.,62
уч.,61
классич.,61
пед.,60
клб,59
урал.,59
издат.,58
связ.,58
груз.,58
пр.,57
краеведч.,56
тип.,56
регион.,55
внеш.,54
сиб.,54
публич.,53
башк.,53
действит.,52
док-т,52
географич.,52
рев.,52
академич.,51
фактич.,51
с.-петерб.,51
христ.,50
корр.,50
авт.,49
коммерч.,49
дол.,49
наб.,48
греч.,47
археологич.,47
австрал.,47
торжеств.,45
строит.,45
общ.,45
демокр.,44
кирп.,43
объед.,43
араб.,42
болг.,42
альм.,42
венгер.,42
дис.,41
нидерл.,41
письм.,41
производств.,39
философ.,39
этнографич.,39
иллюстрир.,38
этнич.,38
революц.,38
яросл.,38
опубл.,38
хоз.,38
республ.,37
норв.,37
псевд.,36
сост.,36
зал.,36
чуваш.,36
м,35
иностр.,35
всесоюз.,35
публ.,35
экологич.,34
крест.,34
илл.,32
чечен.,32
ср.-век.,31
филологич.,31
голл.,31
индивид.,30
т-во,30
визант.,29
графич.,29
универс.,29
четв.,29
бульв.,28
п-ов,28
слав.,28
бельг.,28
просв.,28
прим.,27
пгр.,26
эт.,26
кавказ.,26
теоретич.,25
благотворит.,25
социалистич.,25
правительств.,24
звук.,24
образоват.,24
периодич.,23
метал.,22
послед.,22
предисл.,22
монг.,21
печ.,21
стан.,21
бюлл.,21
заруб.,20
губ.,20
цв.,20
эксперимент.,20
уезд.,20
перc.,19
позд.,19
наруж.,19
переим.,19
прикл.,18
методич.,18
аналитич.,18
км,18
органич.,17
тов.,17
систематич.,16
специализир.,16
испр.,15
централиз.,15
эмоц.,15
справоч.,15
декор.,15
сохр.,14
заключ.,14
княж.,14
мрам.,14
комм.,14
пожизн.,14
монумент.,14
фундамент.,13
вспомогат.,13
старообрядч.,13
стихотв.,13
синтетич.,13
потомств.,13
библ.,13
провинц.,12
осет.,12
многочисл.,12
кап.,12
изобразит.,12
сузд.,12
организац.,12
качеств.,12
идеологич.,11
разл.,11
коллекц.,10
азиат.,10
бум.,10
ингуш.,10
дипломатич.,10
полиграф.,9
якут.,9
функц.,8
эстетич.,8
будд.,8
сканд.,8
подмоск.,8
мифол.,7
трлн,7
наим.,7
купеч.,7
ведомств.,7
фотогр.,7
флам.,7
см.,7
преп.,7
стекл.,6
нумизматич.,6
словесн.,6
мордов.,6
редакц.,6
учрежд.,6
фольк.,6
черкес.,6
скульпт.,6
см,5
эксп.,5
количеств.,5
языч.,5
хронолоrич.,5
перераб.,5
веществ.,5
керамич.,5
чугун.,5
экспедиц.,4
социологич.,4
догматич.,4
яз-знание,4
др.-рус.,4
загран.,4
драг.,3
зап.-европ.,3
артистич.,3
тематич.,3
археогр.,3
эволюц.,2
епарх.,2
реконстр.,2
гуманистич.,2
конфиск.,2
преим.,2
декорац.,2
ежекварт.,2
невостреб.,2
старопеч.,2
кириллич.,2
стилистич.,2
методологич.,2
размещ.,2
аристократич.,2
терминологич.,2
национализ.,1
квалифицир.,1
прижизн.,1
лит-ведение,1
кн-во,1
высококачеств.,1
типологич.,1
орнамент.,1
театрализ.,1
пластич.,1
синод.,1
экспозиц.,1
реставрац.,1
послесл.,1
лекц.,1
abbreviation,1
