"дет.","266"
"творч.","246"
"кон.","262"
"лит.","222"
"орг-ция","237"
"вост.","207"
"жен.","209"
"чуваш.","99"
"откр.","188"
"вопр.","238"
"з.","161"
"ж.-д.","219"
"комис.","164"
"собр.","202"
"лит-ра","201"
"св.","175"
"окт.","217"
"архит.","210"
"итал.","200"
"сотр.","193"
"созд.","204"
"технич.","182"
"сообщ.","162"
"собств.","211"
"ю.","197"
"исп.","147"
"зав.","184"
"иссл.","192"
"биогр.","186"
"авг.","173"
"гражд.","173"
"религ.","109"
"жел.","178"
"театр.","138"
"муж.","126"
"япон.","166"
"польск.","180"
"рим.","128"
"кит.","134"
"посв.","137"
"бр.","201"
"кам.","121"
"пост.","148"
"древн.","117"
"европ.","159"
"террит.","122"
"доп.","132"
"рис.","129"
"апр.","113"
"постр.","124"
"греч.","126"
"хут.","125"
"пер.","126"
"наст.","115"
"шир.","135"
"ш.","167"
"перc.","81"
"вест.","166"
"высш.","138"
"пом.","133"
"внутр.","104"
"дерев.","140"
"бар.","172"
"произв.","155"
"белорус.","175"
"ниж.","155"
"связ.","99"
"мин-во","155"
"колл.","124"
"сиб.","93"
"чл.-корр.","83"
"авт.","93"
"врем.","106"
"нояб.","115"
"летоп.","90"
"швед.","105"
"арх-ра","97"
"просп.","110"
"дополнит.","138"
"анс.","94"
"янв.","143"
"февр.","105"
"мемор.","112"
"опред.","99"
"соц.","130"
"слав.","63"
"документ.","114"
"докл.","87"
"демокр.","82"
"сент.","129"
"издат.","64"
"уч.","62"
"регион.","88"
"дол.","67"
"ленингр.","96"
"груз.","74"
"евр.","83"
"республ.","73"
"первонач.","88"
"уник.","80"
"тип.","77"
"классич.","75"
"традиц.","75"
"драм.","82"
"австр.","71"
"рец.","93"
"архитект.","80"
"гал.","78"
"церк.","70"
"псевд.","64"
"географич.","59"
"пед.","88"
"фин.","60"
"араб.","51"
"краеведч.","68"
"революц.","46"
"хоз.","57"
"сотр-во","76"
"публич.","55"
"действит.","63"
"верх.","87"
"коммерч.","74"
"наб.","44"
"австрал.","65"
"одноим.","75"
"письм.","56"
"самостоят.","60"
"христ.","42"
"татар.","54"
"академич.","56"
"прилож.","79"
"башк.","63"
"корр.","35"
"бульв.","41"
"соч.","48"
"информ.","90"
"азерб.","52"
"иностр.","55"
"торжеств.","44"
"конф.","59"
"общ.","67"
"философ.","50"
"объед.","58"
"петерб.","65"
"с.-петерб.","49"
"внеш.","51"
"зал.","75"
"социалистич.","58"
"якут.","26"
"рев.","69"
"п-ов","48"
"б-ца","125"
"образоват.","41"
"исслед.","61"
"голл.","37"
"бельг.","42"
"нидерл.","36"
"док-т","74"
"дис.","38"
"сост.","57"
"иллюстрир.","52"
"эксперимент.","47"
"т-во","52"
"болг.","52"
"пр.","64"
"эт.","57"
"археологич.","41"
"яросл.","32"
"библ.","25"
"комм.","38"
"венгер.","57"
"всесоюз.","35"
"четв.","37"
"визант.","39"
"кап.","31"
"губ.","30"
"публ.","53"
"дипломатич.","27"
"наим.","27"
"строит.","42"
"тематич.","29"
"фактич.","38"
"км","35"
"альм.","32"
"позд.","37"
"опубл.","47"
"разл.","23"
"искусств.","35"
"прикл.","25"
"стан.","23"
"этнич.","35"
"кирп.","43"
"благотворит.","32"
"персон.","47"
"пгр.","38"
"кавказ.","32"
"илл.","41"
"всерос.","52"
"организац.","22"
"норв.","47"
"декор.","28"
"экологич.","29"
"метал.","43"
"звук.","45"
"филологич.","31"
"урал.","41"
"эмоц.","16"
"предисл.","24"
"индивид.","49"
"аналитич.","30"
"район.","82"
"сохр.","20"
"прим.","39"
"ср.-век.","40"
"теоретич.","27"
"тов.","26"
"мрам.","17"
"м","34"
"централиз.","13"
"провинц.","13"
"др.-рус.","18"
"послед.","27"
"универс.","30"
"заруб.","20"
"производств.","35"
"будд.","21"
"азиат.","33"
"пожизн.","14"
"флам.","16"
"княж.","21"
"специализир.","15"
"редакц.","15"
"вспомогат.","24"
"периодич.","16"
"печ.","23"
"мордов.","10"
"многочисл.","13"
"преп.","23"
"скульпт.","19"
"монг.","44"
"драг.","10"
"систематич.","14"
"правительств.","21"
"методич.","19"
"мифол.","17"
"чечен.","14"
"этнографич.","20"
"монумент.","13"
"справоч.","18"
"заключ.","21"
"просв.","24"
"графич.","30"
"учрежд.","12"
"изобразит.","15"
"языч.","9"
"крест.","24"
"бум.","11"
"черкес.","18"
"качеств.","16"
"фотогр.","16"
"фундамент.","16"
"цв.","17"
"коллекц.","9"
"сузд.","10"
"переим.","15"
"уезд.","15"
"органич.","15"
"эксп.","9"
"наруж.","9"
"фольк.","10"
"синтетич.","12"
"идеологич.","12"
"см.","6"
"чугун.","11"
"реконстр.","8"
"стихотв.","9"
"старообрядч.","10"
"специфич.","4"
"словесн.","5"
"испр.","11"
"аристократич.","8"
"бюлл.","12"
"кириллич.","5"
"функц.","10"
"послесл.","5"
"прижизн.","7"
"декорац.","3"
"пластич.","7"
"потомств.","9"
"отт.","4"
"зап.-европ.","7"
"нумизматич.","5"
"сканд.","2"
"стекл.","7"
"епарх.","4"
"яз-знание","3"
"кн-во","3"
"артистич.","5"
"размещ.","4"
"купеч.","9"
"загран.","5"
"количеств.","9"
"социологич.","9"
"лит-ведение","5"
"ср.","1"
"осет.","4"
"адм.-терр.","1"
"полиграф.","4"
"эволюц.","3"
"классицистич.","1"
"ежекварт.","2"
"хронолоrич.","5"
"перераб.","4"
"классификац.","3"
"типологич.","1"
"преим.","1"
"старослав.","3"
"квалифицир.","2"
"терминологич.","1"
"синод.","2"
"см","2"
"национализ.","2"
"высококачеств.","5"
"ведомств.","2"
"керамич.","3"
"экспедиц.","8"
"эстетич.","13"
"лекц.","3"
"конфиск.","1"
"стилистич.","4"
"подмоск.","6"
"веществ.","2"
"театрализ.","1"
"яз-ведение","1"
"ингуш.","4"
"гуманистич.","2"
"реорганиз.","1"
"зап.-сиб.","1"
"методологич.","1"
"у.","1"
"экспозиц.","1"
"догматич.","1"
