"старослав.","1"
"ведомств.","2"
"реорганиз.","1"
"аристократич.","2"
"нумизматич.","2"
"кириллич.","1"
"типологич.","1"
"старопеч.","1"
"национализ.","1"
"ежекварт.","1"
"квалифицир.","1"
"артистич.","1"
"сканд.","1"
"ингуш.","2"
"высококачеств.","1"
"театрализ.","1"
"преим.","1"
